weekday,hour,retweetcount,is_viral,reach,likes,time_step
Tuesday,7,194,4,1420.1020408163265,0,127
Tuesday,8,65,1,7240.048780487805,0,128
Tuesday,9,261,4,2539.734693877551,0,129
Tuesday,10,310,4,25251.963636363635,28,130
Tuesday,11,133,0,4039.135593220339,0,131
Tuesday,12,282,5,5645.746031746032,0,132
Tuesday,13,162,5,2459.8032786885246,0,133
Tuesday,14,358,8,17856.473684210527,0,134
Tuesday,15,793,17,11642.492063492064,125,135
Tuesday,16,378,8,14465.025974025973,43,136
Tuesday,17,407,9,3047.2363636363634,0,137
Tuesday,18,181,2,920.2142857142857,0,138
Tuesday,19,91,2,15667.09375,14,139
Tuesday,20,181,5,1047.121212121212,0,140
Tuesday,21,278,4,804.3333333333334,0,141
Tuesday,22,77,2,3520.4827586206898,0,142
Tuesday,23,160,4,1041.6785714285713,0,143
Wednesday,0,104,2,4170.916666666667,0,144
Wednesday,1,174,4,1592.0,0,145
Wednesday,2,121,2,1210.0,0,146
Wednesday,3,57,1,593.5,0,147
Wednesday,4,142,3,6558.5526315789475,0,148
Wednesday,5,17,0,1249.625,0,149
Wednesday,6,19,0,1106.923076923077,0,150
Wednesday,7,173,4,2251.181818181818,0,151
Wednesday,8,77,1,2225.612244897959,0,152
Wednesday,9,167,2,13483.916666666666,26,153
Wednesday,10,204,3,1504.0677966101696,0,154
Wednesday,11,331,5,17267.6,55,155
Wednesday,12,222,3,17414.216666666667,0,156
Wednesday,13,124,3,22689.3488372093,35,157
Wednesday,14,329,7,2533.6,0,158
Wednesday,15,231,4,1034.1860465116279,0,159
Wednesday,16,254,3,14343.823529411764,34,160
Wednesday,17,158,4,590.44,0,161
Wednesday,18,124,4,930.1379310344828,0,162
Wednesday,19,887,14,9567.214285714286,0,163
Wednesday,20,1993,31,1173.3023255813953,0,164
Wednesday,21,1448,17,3048.975,0,165
Wednesday,22,1213,13,1109.425,0,166
Wednesday,23,738,10,633.0769230769231,0,167
